331,Tagin,tagin,tagin,,30000,28.038,94.2022,1
332,Tialo,tomini,tialo,,30000,0.4888,120.8935,1
333,Tidikelt,tidikelt,tidikelt,,30000,26.8828,2.5488,4
334,Toba,toba,toba,,30000,-25.958,-59.0625,2
335,Tundra Nenets,néncico de la tundra,nénètse de la toundra,,30000,67.5001,67.7856,2
336,Vojvodina Rusyn,rutenio de Voivodina,ruthène de Voïvodine,,30000,45.6351,19.1903,2
337,Wuse,wusehuá,wuse,,30000,24.878,109.1053,1
338,Agul,agul,agul,,29399,41.7518,47.6875,2
339,Rutul,rutul,routoul,,29383,41.5332,47.3181,2
340,Bateri,bateri,bateri,,29000,34.9073,72.8675,2
341,Mzieme,mzieme,mzieme,,29000,25.6019,93.8891,1
342,Ghale,ghale,ghale,,28989,28.2501,84.718,1
343,Sierra Popoluca,popoluca de Sierra,populaca de la Sierra,,28700,18.245,-94.76,1
344,Kurux (Nepal),kuruj (Nepal),kurux (Népal),,28615,26.6032,87.2259,1
345,Deori,deori,deori,,28000,27.1911,94.1528,2
346,Soyaltepec Mazatec,mazateco de Soyaltepec,mazatèque de Soyaltepec,,27524,18.2499,-96.3995,1
347,Western Mazahua,mazahua occidental,mazahua occidental,,27037,19.4372,-100.3552,2
348,Sibe,xibo,xibe,,27000,43.6599,81.3427,3
349,Isthmus Náhuatl,nahua del istmo,náhuatl de l'Isthme,,26632,18.2209,-94.8382,1
350,Sunwar,sunwar,sunwar,,26611,27.3485,86.2337,1
351,Mancagne,mancaña,mancagne,,26450,12.7743,-15.6967,1
352,Gadaba,gadaba,gadaba,,26262,18.3858,82.7819,4
353,Banat Bulgarian,búlgaro del Bánato,bulgare de Banat,,25000,45.4832,20.9069,2
354,Csángó Hungarian,csángó,hongrois csángó,,25000,46.7925,27.1911,3
355,Koda,koda,koda,,25000,22.1263,87.0776,1
356,Minhe Monguor,monguor de Minhe,minhe monguor,,25000,36.4919,102.6452,2
357,Miskito (Honduras),misquito (Honduras),miskito (Honduras),,25000,15.3393,-84.6034,1
358,Olonetsian,olonetsiano,olonetsien,,25000,61.1273,32.8765,2
359,Saek,saek,saek,,25000,19.3166,104.7833,2
360,Sioux,dacota / siu,sioux,,25000,43.0588,-102.5244,1
361,Tamazight (Beni Iznassen),tamazight (Beni Iznassen),tamazight (Beni Iznassen),,25000,34.7506,-2.1917,2
362,Tsakhur,tsajur,tsakhour,,25000,41.6523,46.9775,2
363,Warao,warao,warao,,25000,8.6027,-61.3806,2
364,Majhi,bote-majhi,majhi,,24664,27.9208,83.5082,3
365,Jone,choni,choni,,24000,34.5947,103.5653,2
366,Andi,andi,andi,,23729,42.7308,46.2963,2
367,Guambiano,guambiano,guambiano,,23462,2.6138,-76.3906,2
368,Anal,anal,anal,,23000,24.1517,93.9385,1
369,Hawrami,hawrami,hawrami,,23000,35.4259,46.2551,2
370,Juang,yuango,juang,,23000,21.0742,85.6164,2
371,Tiwa,tigua,tiwa,,23000,25.7801,92.5927,2
372,Embera (Panama),embera (Panamá),embera (Panama),,22485,8.1179,-77.7429,1
